Run	φ	Δφ	κ1	Δκ1	κ2	Δκ2	x	Δx	y	Δy	z	Δz
100	0.07410	0.02845	-0.105709990E-02	0.43693E-08	0.108634355E-01	0.10983E-08	65.77715	1.10948	1.00101	0.03343	7.30088	0.81966
101	0.05886	0.01091	-0.123008527E-02	0.10822E-09	0.488220248E-02	0.10522E-08	0.15426	1.03894	-0.00031	0.03229	-0.44355	0.81947
102	0.05929	0.05625	-0.124490750E-02	0.15292E-07	0.506579410E-02	0.13639E-07	74.89845	4.23178	0.44026	0.09094	1.58511	1.01556
103	0.08047	0.01615	-0.117305806E-02	0.35925E-09	0.466901809E-02	0.23968E-08	20.39711	1.50409	0.77898	0.06236	-1.49371	1.14674
104	0.09059	0.01435	-0.120528042E-02	0.18833E-09	0.518370047E-02	0.23909E-08	10.22803	1.22886	-0.18484	0.03762	0.15968	0.96345
105	0.04744	0.02048	-0.122228835E-02	0.19137E-09	0.474522915E-02	0.25876E-08	14.38532	1.99433	0.21097	0.04461	0.20137	0.90474
106	0.08174	0.02319	-0.123434712E-02	0.10938E-09	0.628347229E-02	0.68480E-08	-0.72061	1.72728	-0.06083	0.04643	0.98217	0.95066
107	0.06505	0.05801	-0.116376660E-02	0.15293E-07	0.569681823E-02	0.88821E-08	60.20341	4.21633	2.22269	0.17776	-1.36992	1.52303
108	0.10405	0.00466	-0.122630387E-02	0.10636E-09	0.490630092E-02	0.23018E-09	6.10859	0.40707	-0.28251	0.03714	0.39659	0.69914
109	0.13730	0.04606	0.826968160E-02	0.53494E-08	-0.997895258E-03	0.15198E-07	48.34574	2.21467	1.72361	0.19183	-2.00903	1.67506
110	0.04441	0.03995	-0.120067119E-02	0.42950E-08	0.600582873E-02	0.23826E-08	54.10700	3.00795	-0.27586	0.06853	-0.43883	1.13658
111	0.10910	0.00724	-0.111345318E-02	0.35308E-09	0.403758697E-02	0.50526E-09	11.13320	0.73254	0.93418	0.04602	0.38526	1.00191
112	0.05528	0.01413	-0.122283539E-02	0.35277E-09	0.453434931E-02	0.97159E-09	27.00960	1.38902	-0.01176	0.03088	-0.27337	0.88295
113	0.10254	0.02984	-0.111200556E-02	0.16251E-08	0.729962951E-02	0.60879E-08	46.45547	1.81695	0.68830	0.05869	0.01556	1.14229
114	0.02856	0.07918	-0.116626557E-02	0.43770E-08	0.613511959E-02	0.74773E-08	54.15791	6.14321	4.71087	0.54374	0.42101	1.22703
115	0.11324	0.01296	-0.115082797E-02	0.18673E-09	0.636729505E-02	0.16836E-08	9.59181	0.91875	-0.27475	0.04479	-2.08509	0.96453
116	0.03658	0.01281	-0.122178032E-02	0.17456E-09	0.457675429E-02	0.22926E-09	14.48383	1.31348	-1.18340	0.12632	-0.34009	0.74828
117	0.18643	0.00855	-0.104165683E-02	0.11175E-09	0.113971718E-01	0.76303E-08	5.63533	0.29189	0.01685	0.02784	-0.70362	0.80538
118	0.05220	0.01154	-0.118222774E-02	0.11092E-09	0.519153709E-02	0.96912E-09	11.52016	1.02951	0.01398	0.02201	-0.41022	0.73685
119	0.04618	0.01045	-0.119406229E-02	0.10703E-09	0.553280069E-02	0.42124E-09	7.37611	0.89602	-0.28399	0.04828	0.60338	0.70504
120	0.04990	0.01438	-0.120993610E-02	0.16393E-08	0.435547438E-02	0.12665E-08	56.27119	1.14350	3.06658	0.06379	0.77647	0.74946
121	0.00438	0.09694	-0.122935697E-02	0.36272E-09	0.452691363E-02	0.28246E-08	30.09819	10.24682	3.31751	1.10429	-0.88768	0.83851
122	0.04599	0.01045	-0.116769434E-02	0.33103E-09	0.582024641E-02	0.19996E-09	33.56915	0.82007	-3.18770	0.09074	-0.04798	0.67307
123	0.08066	0.02199	-0.106691744E-02	0.19180E-09	0.834066141E-02	0.41216E-08	14.34278	1.24582	0.14050	0.03241	0.58164	0.93240
124	0.02465	0.04618	-0.114330626E-02	0.11403E-09	0.667765457E-02	0.67504E-08	8.77844	3.36793	0.51139	0.19676	0.56567	0.85783
125	0.06517	0.00711	-0.120888895E-02	0.10710E-09	0.498912204E-02	0.50125E-09	7.25355	0.64542	-0.27132	0.04045	-0.54853	0.70906
126	0.06979	0.01041	-0.111500663E-02	0.10303E-09	0.790671632E-02	0.74233E-09	6.84471	0.62311	-0.55437	0.06668	1.08242	0.72933
127	0.01209	0.04468	-0.126735424E-02	0.10987E-09	0.434774812E-02	0.10197E-08	9.39493	4.91611	0.05085	0.03291	1.79875	0.81396
128	0.15100	0.00941	-0.901458261E-03	0.71821E-09	0.618839171E-02	0.84701E-09	23.11800	0.60332	1.74121	0.06104	0.12105	1.15792
129	0.05732	0.01125	-0.123904226E-02	0.68791E-09	0.452240137E-02	0.52283E-09	36.92102	1.02851	-1.79799	0.07122	-1.37732	0.83200
130	0.07975	0.02106	-0.120800419E-02	0.19691E-09	0.483361818E-02	0.82934E-08	10.56579	1.88365	0.90113	0.18139	1.08047	1.00338
131	0.10133	0.02587	-0.104998436E-02	0.71905E-09	0.952698383E-02	0.53975E-08	43.24171	1.25256	-0.15650	0.02823	2.54879	0.90316
132	0.07364	0.03067	-0.103607622E-02	0.42730E-08	0.737188337E-02	0.18302E-08	53.60465	1.80089	-1.10880	0.09729	-0.47161	1.13392
133	0.02709	0.01895	-0.128429104E-02	0.18508E-09	0.411581481E-02	0.46647E-09	10.90963	2.16504	-0.11780	0.04784	0.77715	0.82104
134	0.09120	0.02679	-0.110619375E-02	0.16386E-08	0.688042026E-02	0.72869E-08	40.50850	1.66948	2.60108	0.11198	3.92007	1.20213
135	0.04190	0.02922	-0.120790245E-02	0.41466E-08	0.406159041E-02	0.39607E-08	58.85469	2.75688	-3.85118	0.19991	-1.25425	1.01741
136	0.05509	0.05698	-0.112606760E-02	0.43527E-08	0.104654254E-01	0.61629E-08	65.60468	2.58449	5.94590	0.24709	-3.85764	0.87005
137	0.10945	0.01137	-0.111800770E-02	0.18991E-09	0.707550580E-02	0.18036E-08	7.08464	0.72920	0.02813	0.04002	-0.27341	0.94298
138	0.08395	0.02178	-0.112987030E-02	0.11154E-09	0.639828760E-02	0.67808E-08	0.33604	1.59059	0.07493	0.05272	0.26755	0.93622
139	0.17140	0.00765	-0.100634084E-02	0.23756E-09	0.626909127E-02	0.25158E-08	-0.89786	0.50755	0.99334	0.04364	0.18563	1.27460
140	0.02640	0.08525	-0.110204495E-02	0.14104E-07	0.425600959E-02	0.15025E-07	75.72421	8.70190	-9.39309	1.09367	-0.52570	0.99616
141	0.06793	0.00920	0.468921335E-02	0.55095E-09	-0.120582688E-02	0.70047E-09	41.76601	0.72809	-1.66150	0.04700	2.29670	0.75805
142	0.12082	0.02312	-0.106506504E-02	0.15961E-08	0.102506680E-01	0.23509E-08	38.58687	1.02530	-0.44947	0.07438	-0.11478	1.20206
143	0.10571	0.03001	-0.905927271E-03	0.16179E-08	0.621518958E-02	0.69314E-08	39.89480	2.10790	1.02413	0.06563	-4.02282	1.31342
144	0.01188	0.02713	-0.129948300E-02	0.10771E-09	0.403036550E-02	0.24131E-09	8.81825	3.19216	-0.13084	0.05744	-0.44289	0.73518
145	0.10776	0.02738	-0.105320045E-02	0.15938E-08	0.927336793E-02	0.52207E-08	40.75777	1.33715	-0.69999	0.07306	-0.27751	1.17643
146	0.04775	0.08645	-0.105641654E-02	0.15337E-07	0.827771332E-02	0.94969E-08	74.09748	4.81871	1.96758	0.14165	-5.33072	1.01999
147	0.06984	0.01195	-0.118383998E-02	0.35178E-09	0.527440244E-02	0.89852E-09	20.38127	1.01479	0.11172	0.03701	-2.13075	0.91294
148	0.02970	0.07599	-0.131158985E-02	0.15334E-07	0.416554511E-02	0.11052E-07	65.19430	7.77498	5.02869	0.62188	5.98920	1.37979
149	0.12960	0.00694	-0.112023065E-02	0.19889E-09	0.521867489E-02	0.98909E-09	1.84160	0.57211	0.49975	0.03731	0.94845	1.04639
150	0.07370	0.02322	0.408068858E-02	0.46412E-09	-0.121932547E-02	0.15863E-08	13.25258	2.59200	0.96124	0.04083	-0.23894	1.06353
151	0.06333	0.02751	-0.126523001E-02	0.41344E-08	0.442446442E-02	0.34609E-08	50.25129	2.39932	-2.83570	0.16500	-0.41439	1.25322
152	0.06887	0.00690	-0.118618610E-02	0.17459E-09	0.549199572E-02	0.22587E-09	20.34394	0.55787	-2.15736	0.07360	1.01370	0.68290
153	0.06825	0.01711	-0.108925661E-02	0.72804E-09	0.809136126E-02	0.19289E-08	42.00594	0.95454	2.55362	0.05757	-0.76804	0.80360
154	0.15739	0.01929	-0.102699001E-02	0.38694E-09	0.497790845E-02	0.62150E-08	7.02423	1.62294	1.65299	0.15498	0.80720	1.60764
155	0.03887	0.06257	-0.110378058E-02	0.15335E-07	0.432959199E-02	0.12028E-07	69.04896	5.82114	4.99574	0.40665	0.06495	1.20452
156	0.08463	0.01594	-0.108999305E-02	0.31992E-09	0.860799756E-02	0.19268E-08	22.46682	0.85329	-2.43047	0.11328	0.47786	0.91604
157	0.05380	0.01973	-0.117834657E-02	0.19257E-09	0.516231218E-02	0.21888E-08	13.13898	1.78419	0.31204	0.05114	-0.65176	0.92005
158	0.03484	0.01428	-0.129220623E-02	0.10902E-09	0.398260728E-02	0.44386E-09	7.11587	1.67145	-0.03679	0.02459	0.62577	0.76383
159	0.19342	0.00595	-0.108430034E-02	0.11242E-09	0.915724225E-02	0.19686E-08	4.81537	0.26139	0.02053	0.02653	-0.61045	0.82244
160	0.10410	0.02654	-0.112971768E-02	0.16193E-08	0.799535587E-02	0.58845E-08	39.14027	1.47007	0.75370	0.06583	3.62268	1.22768
161	0.07496	0.02255	-0.121693243E-02	0.12692E-09	0.457641017E-02	0.83312E-08	8.66556	2.15963	0.80437	0.20988	-1.14409	0.99237
162	0.10496	0.00740	-0.112882513E-02	0.10753E-09	0.624363497E-02	0.96112E-09	11.76763	0.51047	-0.56628	0.03772	-1.02287	0.73266
163	0.02426	0.02553	0.555302855E-02	0.43692E-09	-0.118778390E-02	0.67049E-09	39.54616	2.18450	-3.14162	0.18975	0.08897	0.79523
164	0.04938	0.02786	-0.104339747E-02	0.36367E-09	0.113099404E-01	0.51704E-08	32.44647	1.18514	2.65275	0.08853	-1.91285	0.77852
165	0.03429	0.01993	-0.121381518E-02	0.18710E-09	0.499927299E-02	0.93782E-09	18.73323	1.88863	-0.54882	0.05898	-1.81500	0.82255
166	0.08869	0.07805	0.437574694E-02	0.11204E-08	-0.116825115E-02	0.15047E-07	16.48885	8.21221	1.96384	0.13600	-0.98146	1.18767
167	0.08033	0.00672	-0.118863641E-02	0.18627E-09	0.535752950E-02	0.48320E-09	18.57679	0.53579	-0.78057	0.04063	-0.67786	0.72564
168	0.08738	0.04127	0.593629526E-02	0.27387E-08	-0.116796640E-02	0.15057E-07	55.08694	2.54166	0.09080	0.15619	2.04966	1.31319
